,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
93,Itarema,BR,86.23,broken clouds,-2.9248,-39.9167,Pousada Oásis
111,Cape Town,ZA,74.12,clear sky,-33.9258,18.4232,Townhouse Hotel
112,Sibolga,ID,77.09,overcast clouds,1.7427,98.7792,Hotel Prima Indah
121,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Fidji Motel
128,Kapaa,US,71.92,light rain,22.0752,-159.319,Pono Kai Resort
130,Castro,BR,74.86,few clouds,-24.7911,-50.0119,Hotel Central Palace
131,Santa Maria,BR,87.1,scattered clouds,-29.6842,-53.8069,Hotel Morotin
144,Kisangani,CD,72.52,heavy intensity rain,0.5167,25.2,Le Chalet
145,Chanika,TZ,78.22,scattered clouds,-5.4167,38.0167,Handeni Country Villa
148,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,Casa Sodadi
150,Saint-Philippe,RE,81.99,broken clouds,-21.3585,55.7679,Le Baril
151,Catamarca,AR,80.78,broken clouds,-28.4696,-65.7852,Hotel de Turismo
154,Brandon,US,78.26,clear sky,27.9378,-82.2859,Brandon Motor Lodge
156,Pisco,PE,77.05,clear sky,-13.7,-76.2167,La Portada
160,Kuala Terengganu,MY,78.75,scattered clouds,5.3302,103.1408,Uncle Homestay
164,Faanui,PF,80.98,scattered clouds,-16.4833,-151.75,Oa Oa Lodge
180,Meulaboh,ID,78.31,overcast clouds,4.1363,96.1285,Hotel Meuligou
184,Rio Tercero,AR,77.79,scattered clouds,-32.173,-64.1141,hotel Argentino
190,Ampanihy,MG,75.94,broken clouds,-24.7,44.75,Hotel restaurant Angora
193,Acajutla,SV,85.41,clear sky,13.5928,-89.8275,Hotel Lara
202,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
203,Honiara,SB,77.25,overcast clouds,-9.4333,159.95,King Solomon Hotel
208,Cockburn Town,TC,78.76,few clouds,21.4612,-71.1419,The Salt Raker Inn
217,Necochea,AR,73.18,light rain,-38.5473,-58.7368,Cabañas Río Quequén
219,Manaure,CO,84.34,clear sky,11.7751,-72.4445,hotel palaima
220,Saint-Pierre,RE,82.08,broken clouds,-21.3393,55.4781,Tropic Hotel
230,Chuy,UY,81.68,broken clouds,-33.6971,-53.4616,Alerces
233,Contramaestre,CU,86.36,scattered clouds,20.2978,-76.2414,Caribeño
238,Port-Gentil,GA,78.76,thunderstorm,-0.7193,8.7815,Tara-Mé
243,Caravelas,BR,87.93,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
244,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Pebbles Inn
248,Sao Joao Da Barra,BR,87.89,broken clouds,-21.6403,-41.0511,Pousada Mediterrâneo
251,Vao,NC,79.11,overcast clouds,-22.6667,167.4833,Nataiwatch
252,Camana,PE,77.61,few clouds,-16.6228,-72.7111,Caja Arequipa
255,Jeremie,HT,81.1,scattered clouds,18.65,-74.1167,Delivrance Hotel
264,Lorengau,PG,80.37,scattered clouds,-2.0226,147.2712,Seeadler Bay Hotel
269,Axim,GH,85.39,few clouds,4.8699,-2.2405,Axim Beach Hotel
271,Puerto Madryn,AR,83.66,overcast clouds,-42.7692,-65.0385,Hotel Gran Palace
276,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Central Hôtel
278,Tefe,BR,80.71,broken clouds,-3.3542,-64.7114,Hotel Montecarlo
279,Namibe,AO,76.68,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
282,Altamira,BR,86.09,broken clouds,-3.2033,-52.2064,Hotel Vale do Xingu
286,Pakxe,LA,79.18,overcast clouds,15.1167,105.7833,Residence Sisouk
302,Salalah,OM,75.29,clear sky,17.0151,54.0924,Muscat International Hotel
303,Alta Floresta,BR,86.81,scattered clouds,-9.8756,-56.0861,Villas Hotel
304,Matara,LK,75.7,overcast clouds,5.9485,80.5353,Villa Palm Breeze
